Perfume reference,Gender,Size,Top Notes,Heart Notes,Base Notes,Olfactory Family,Inspiration
1,M,70ml,"Solar notes, Grapefruit blossom","Salt, Ambroxan, Leather accord","Pine, Cashmeran, Amber","Woody, Leather, Amber",One Million – Paco Rabanne
2,M,70ml,"Marine notes, Green mandarin","Clary sage, Geranium, Lavender","Mineral notes, Patchouli, Vetiver","Aromatic, Marine, Woody",Acqua di Giò – Armani
3,M,70ml,Sicilian mandarin,"Violet leaf, Leather accord","Bourbon vanilla, Rum, Benzoin, Agarwood nuances","Oriental, Leather, Woody",Fahrenheit – Dior
4,M,70ml,"Grapefruit, Coriander, Basil","Cardamom, Ginger, Orange blossom","Tobacco, Amber, Cedarwood","Woody, Spicy, Oriental",The One – Dolce & Gabbana
6,F,70ml,"Mandarin, Bergamot, Lily-of-the-valley","Carnation, Jasmine, Myrrh","Opoponax, Amber, Patchouli, Vanilla, Sandalwood","Oriental, Spicy, Amber",Opium – Yves Saint Laurent
7,F,70ml,"Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot","Jasmine, Lily-of-the-valley, Tuberose, Freesia, Rose, Orchid, Violet, Plum","Vanilla, Cedarwood, Blackberry, Musk","Floral, Fruity, Elegant",J’Adore – Dior
10,F,70ml,Jasmine Sambac,Cashmeran Wood,White Amber,"Amber, Woody, Floral",Alien – Thierry Mugler
11,F,70ml,"Sicilian Lemon, Apple, Cedar, Bellflower","Freesia, Jasmine, Bamboo","Cedarwood, Amber, Musk","Fresh, Citrus, Woody",Light Blue (Women) – Dolce & Gabbana
12,M,70ml,Bergamot,"Lavender, Hedione, Elemi","Haitian vetiver, Oakmoss","Aromatic, Fougere, Citrus",Eau Sauvage – Dior
14,F,70ml,"Green Notes, Bergamot, Blackcurrant","Jasmine Sambac, Lily-of-the-valley","Cedarwood, Sandalwood, Vanilla, Tonka Bean","Oriental, Floral",Manifesto – YSL
15,M,70ml,"Grapefruit, Basil, Bergamot, Juniper","Heliotrope, Pine, Jasmine","Benzoin, Patchouli, Sandalwood, Vanilla","Oriental, Woody, Fresh",Roma – Laura Biagiotti
16,M,70ml,Cardamom,"Lavender, Iris","Vanilla, Oriental woods","Oriental, Woody, Aromatic",Le Mâle – Jean Paul Gaultier
18,M,70ml,"Orange, Bergamot","Spices, Cardamom, Cumin, Cedar","Leather, Amber, Vetiver","Woody, Spicy, Oriental",Déclaration – Cartier
19,F,70ml,"Raspberry, Neroli, Amalfi Lemon","Jasmine, African Orange Flower, Gardenia","Honey, Patchouli, Amber","Floral, Fruity, Sweet",Lady Million – Paco Rabanne
20,M,70ml,"Grapefruit, Cardamom","Lavender, Geranium","Vetiver, Patchouli, Cedar","Woody, Spicy, Aromatic",La Nuit de L’Homme – YSL
21,M,70ml,"Frozen grapefruit, Mandarin","Juniper, Marine accord","Amberwood, Musk","Fresh, Aquatic, Woody",Light Blue Pour Homme – Dolce & Gabbana
22,M,70ml,Orange,"Flint, Pepper, Spices","Benzoin, Vetiver, Cedar","Woody, Spicy, Citrus",Terre d’Hermès – Hermès
23,F,70ml,"Star anise, Coconut, Plum","Tuberose, Jasmine, Lily-of-the-valley, Rose","Almond, Sandalwood, Vanilla, Musk","Oriental, Vanilla, Gourmand",Hypnotic Poison – Dior
24,F,70ml,"Aldehydes, Bergamot, Neroli","Jasmine, Rose, Ylang-ylang, Iris","Sandalwood, Vetiver, Vanilla, Amber","Floral, Aldehydic, Woody",No. 5 – Chanel
25,F,70ml,"Osmanthus, African orange flower, Bergamot","Musk, Amber","Vetiver, Patchouli, Vanilla","Musky, Floral, Amber",For Her – Narciso Rodriguez
26,F,70ml,"Hawthorn, Blackcurrant, Bulgarian rose","Parma violet, Opopanax, Jasmine","Vanilla, White musk, Incense","Floral, Powdery, Sweet",Flower – Kenzo
27,F,70ml,"Peach, Apricot blossom, Rose","Iris, Heliotrope, Jasmine","Sandalwood, Vanilla, Musk, Amber","Oriental, Floral",Trésor – Lancôme
28,F,70ml,"Bergamot, Cotton candy","Red berries, Honey, Plum, Orchid, Jasmine","Patchouli, Chocolate, Caramel, Vanilla, Tonka bean, Amber","Gourmand, Oriental",Angel – Mugler
29,F,70ml,"Lotus, Freesia, Cyclamen, Melon","Peony, Lily, Carnation, Lily-of-the-valley","Sandalwood, Musk, Cedar, Amber","Floral, Aquatic",L’Eau d’Issey – Issey Miyake
30,M,70ml,"Lemon, Sage, Tagetes","Cinnamon, Cardamom, Black amber","Ebony wood, Patchouli, Rosewood","Oriental, Woody, Spicy",Black XS – Paco Rabanne
32,M,70ml,"Grapefruit, Cinnamon","Saffron, Cumin, Tobacco","Vanilla, Amber, Woods","Oriental, Spicy, Amber",Spicebomb – Viktor & Rolf
33,M,70ml,"Bergamot, Bergamot leaf, Aldehydes","Iris, Clary sage","Tonka bean, Cedarwood","Aromatic, Fougere, Woody",Armani Code – Armani
37,M,70ml,"Rum, Spices","Leather, Iris, Tuberose","Tonka bean, Guaiac wood, Benzoin","Oriental, Spicy, Leather",Man – Bvlgari
38,M,70ml,"Lemon zest, Bergamot, Mint","Lavender, Geranium, Green notes, Pineapple","Sandalwood, Cedar, Amberwood, Iso E Super, Tonka bean","Woody, Aromatic, Fresh",Bleu de Chanel – Chanel
39,F,70ml,"Pineapple, Strawberry, Mandarin","Popcorn accord, Caramel, Rose, Jasmine, Violet","Patchouli, Amber, Musk","Gourmand, Chypre, Fruity",Miss Dior Chérie – Dior
40,F,70ml,Passion flower,"Jasmine, Gardenia","Vanilla, Vetiver","Oriental, Vanilla, Floral",Hypnôse – Lancôme
42,F,70ml,"Blackcurrant, Pear","Iris, Jasmine, Orange blossom","Praline, Vanilla, Patchouli, Tonka bean","Gourmand, Floral, Oriental",La Vie Est Belle – Lancôme
44,U,70ml,"Bergamot, Mandarin, Neroli","Green tea, Blackcurrant","Sandalwood, Musk","Fresh, Citrus, Aromatic",Silver Mountain Water – Creed
44,U,70ml,"Bergamot, Mandarin, Neroli","Green tea, Blackcurrant","Sandalwood, Musk","Fresh, Citrus, Aromatic",Silver Mountain Water – Creed
47,F,70ml,"Pepper, Cardamom, Ginger","Coconut, Gardenia, Orange blossom, Peony","Sandalwood, Musk, Amber","Oriental, Floral",Crystal Noir – Versace
48,M,70ml,"Lemon, Ginger, Mandarin","Peach, Vetiver, Cedar","Tonka bean, Amber, Sandalwood","Woody, Oriental, Fresh",Allure Homme – Chanel
49,F,70ml,"Neroli, Papaya blossom","Amaryllis, Water lily, Narcissus","Musk, Cashmeran","Floral, Soft, Fresh",Dolce – Dolce & Gabbana
51,F,70ml,"Bergamot, Orange, Mandarin","Rose, Jasmine","Patchouli, Vetiver, Vanilla, White Musk","Chypre, Floral",Coco Mademoiselle – Chanel
